,timestamp,sog,cog
130,1657864863.3546197,7.1,322.4
131,1657864863.6243863,,
132,1657864864.3549724,7.1,322.3
133,1657864864.624741,,
134,1657864865.353186,7.1,322.2
135,1657864865.6230764,,
136,1657864866.3532124,7.1,322.2
137,1657864866.6231008,,
138,1657864867.354207,7.1,322.0
139,1657864867.623941,,
140,1657864868.3536832,7.0,321.7
141,1657864868.6234143,,
142,1657864869.355944,7.1,321.7
143,1657864869.6256797,,
144,1657864870.354473,7.0,321.7
145,1657864870.6242304,,
146,1657864871.3529956,7.0,321.8
147,1657864871.6227798,,
148,1657864872.3547704,7.0,321.7
149,1657864872.6245294,,
150,1657864873.3529212,7.0,321.8
151,1657864873.622698,,
152,1657864874.3535733,7.0,321.8
153,1657864874.6233034,,
154,1657864875.353855,7.0,321.5
155,1657864875.6235657,,
156,1657864876.3535957,7.0,321.2
157,1657864876.6233642,,
158,1657864877.3543222,7.0,321.2
159,1657864877.6240733,,
160,1657864878.353135,7.0,321.4
161,1657864878.6229038,,
162,1657864879.353327,7.0,321.4
163,1657864879.6230981,,
164,1657864880.3531613,7.0,321.4
165,1657864880.6230097,,
166,1657864881.3542829,7.0,321.1
167,1657864881.6240983,,
168,1657864882.3544567,7.0,321.0
169,1657864882.624197,,
170,1657864883.3532627,7.0,320.9
171,1657864883.6230683,,
172,1657864884.3557756,7.0,320.7
173,1657864884.625545,,
174,1657864885.3529303,7.0,320.4
175,1657864885.6227787,,
176,1657864886.3542395,7.0,320.0
177,1657864886.6240118,,
178,1657864887.3526769,7.0,320.0
179,1657864887.6223695,,
180,1657864888.3557682,6.9,319.9
181,1657864888.6255507,,
182,1657864889.3570814,7.0,319.7
183,1657864889.6269202,,
184,1657864890.3571184,6.9,320.0
185,1657864890.6268268,,
186,1657864891.354373,6.9,320.4
187,1657864891.6241121,,
188,1657864892.35439,6.9,320.8
189,1657864892.6241612,,
190,1657864893.3530853,6.9,320.8
191,1657864893.6229005,,
192,1657864894.3543909,6.9,321.6
